weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
2022-02-16,Better Days,Neiked X Mae Muller X Polo G,32,25,23,17,https://charts-static.billboard.com/img/2021/10/neiked-hfv-better-days-f3b-180x180.jpg,2,7,False
2022-02-23,Better Days,Neiked X Mae Muller X Polo G,52,32,23,18,https://charts-static.billboard.com/img/2021/10/neiked-hfv-better-days-f3b-180x180.jpg,2,8,False
2022-03-02,Better Days,Neiked X Mae Muller X Polo G,50,52,23,19,https://charts-static.billboard.com/img/2021/10/neiked-hfv-better-days-f3b-180x180.jpg,3,9,False
2022-03-09,Better Days,Neiked X Mae Muller X Polo G,60,50,23,20,https://charts-static.billboard.com/img/2021/10/neiked-hfv-better-days-f3b-180x180.jpg,3,10,False
2022-11-23,All I Want For Christmas Is You,Mariah Carey,25,1,52,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,47,False
2022-11-23,Rockin' Around The Christmas Tree,Brenda Lee,41,2,46,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,11,47,False
2022-11-23,Jingle Bell Rock,Bobby Helms,50,3,43,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,11,47,False
2022-11-30,All I Want For Christmas Is You,Mariah Carey,5,25,1,53,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,48,False
2022-11-30,Rockin' Around The Christmas Tree,Brenda Lee,6,41,2,47,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,11,48,False
2022-11-30,Jingle Bell Rock,Bobby Helms,9,50,3,44,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,11,48,False
2022-11-30,A Holly Jolly Christmas,Burl Ives,10,4,27,1,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,11,48,False
2022-11-30,It'S The Most Wonderful Time Of The Year,Andy Williams,19,5,28,1,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,11,48,False
2022-11-30,Last Christmas,Wham!,23,7,26,1,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,11,48,False
2022-11-30,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",34,11,33,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,11,48,False
2022-11-30,Feliz Navidad,Jose Feliciano,42,6,21,1,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,11,48,False
2022-11-30,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,43,12,13,1,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,11,48,False
2022-11-30,Underneath The Tree,Kelly Clarkson,48,12,16,1,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,11,48,False
2022-12-07,All I Want For Christmas Is You,Mariah Carey,2,5,1,54,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,49,True
2022-12-07,Rockin' Around The Christmas Tree,Brenda Lee,3,6,2,48,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
2022-12-07,Jingle Bell Rock,Bobby Helms,5,9,3,45,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
2022-12-07,A Holly Jolly Christmas,Burl Ives,6,10,4,28,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,49,True
2022-12-07,It'S The Most Wonderful Time Of The Year,Andy Williams,9,19,5,29,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,49,True
2022-12-07,Last Christmas,Wham!,10,23,7,27,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,49,True
2022-12-07,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",12,34,11,34,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,49,True
2022-12-07,Feliz Navidad,Jose Feliciano,13,42,6,22,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,49,True
2022-12-07,Underneath The Tree,Kelly Clarkson,17,48,12,17,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,49,True
2022-12-07,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,19,43,12,14,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,49,True
2022-12-07,Santa Tell Me,Ariana Grande,24,17,14,1,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,49,True
2022-12-07,It'S Beginning To Look A Lot Like Christmas,Michael Buble,29,20,11,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,49,True
2022-12-07,Deck The Halls,Nat King Cole,30,30,4,1,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,49,True
2022-12-07,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,31,12,26,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,49,True
2022-12-07,Blue Christmas,Elvis Presley,43,33,4,1,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,49,True
2022-12-07,Last Christmas,Lauren Spencer Smith,91,91,1,1,https://charts-static.billboard.com/img/2022/12/laurenspencersmith-x4p-lastchristmas-36u-180x180.jpg,12,49,True
2022-12-14,All I Want For Christmas Is You,Mariah Carey,1,2,1,55,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,50,True
2022-12-14,Rockin' Around The Christmas Tree,Brenda Lee,2,3,2,49,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
2022-12-14,Jingle Bell Rock,Bobby Helms,3,5,3,46,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
2022-12-14,A Holly Jolly Christmas,Burl Ives,4,6,4,29,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,50,True
2022-12-14,Last Christmas,Wham!,9,10,7,28,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,50,True
2022-12-14,It'S The Most Wonderful Time Of The Year,Andy Williams,11,9,5,30,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,50,True
2022-12-14,Feliz Navidad,Jose Feliciano,12,13,6,23,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,50,True
2022-12-14,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,14,19,12,15,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,50,True
2022-12-14,Underneath The Tree,Kelly Clarkson,16,17,12,18,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,50,True
2022-12-14,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",17,12,11,35,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,50,True
2022-12-14,Santa Tell Me,Ariana Grande,20,24,17,15,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,50,True
2022-12-14,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,26,31,12,27,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,50,True
2022-12-14,Deck The Halls,Nat King Cole,30,30,30,5,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,50,True
2022-12-14,It'S Beginning To Look A Lot Like Christmas,Michael Buble,32,29,20,12,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,50,True
2022-12-14,Blue Christmas,Elvis Presley,45,43,33,5,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,50,True
2022-12-14,Last Christmas,Lauren Spencer Smith,95,91,91,2,https://charts-static.billboard.com/img/2022/12/laurenspencersmith-x4p-lastchristmas-36u-180x180.jpg,12,50,True
2022-12-14,Blue Christmas,Kane Brown,98,98,1,1,https://charts-static.billboard.com/img/2022/12/kane-brown-dqa-bluechristmas-7mp-180x180.jpg,12,50,True
2022-12-21,All I Want For Christmas Is You,Mariah Carey,1,1,1,56,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,51,True
2022-12-21,Rockin' Around The Christmas Tree,Brenda Lee,2,2,2,50,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
2022-12-21,Jingle Bell Rock,Bobby Helms,4,3,3,47,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
2022-12-21,A Holly Jolly Christmas,Burl Ives,5,4,4,30,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,51,True
2022-12-21,Last Christmas,Wham!,6,9,6,29,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,51,True
2022-12-21,It'S The Most Wonderful Time Of The Year,Andy Williams,8,11,5,31,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,51,True
2022-12-21,Feliz Navidad,Jose Feliciano,11,12,6,24,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,51,True
2022-12-21,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",15,17,11,36,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,51,True
2022-12-21,Santa Tell Me,Ariana Grande,19,20,17,16,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,51,True
2022-12-21,Underneath The Tree,Kelly Clarkson,20,16,12,19,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,51,True
2022-12-21,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,23,14,12,16,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,51,True
2022-12-21,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,27,26,12,28,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
2022-12-21,Deck The Halls,Nat King Cole,31,30,30,6,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,51,True
2022-12-21,It'S Beginning To Look A Lot Like Christmas,Michael Buble,35,32,20,13,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,51,True
2022-12-21,Blue Christmas,Elvis Presley,41,45,33,6,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,51,True
2022-12-21,Run Rudolph Run,Chuck Berry,46,10,15,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,51,True
2022-12-21,Blue Christmas,Kane Brown,84,98,84,2,https://charts-static.billboard.com/img/2022/12/kane-brown-dqa-bluechristmas-7mp-180x180.jpg,12,51,True
2022-12-21,Last Christmas,Lauren Spencer Smith,94,95,91,3,https://charts-static.billboard.com/img/2022/12/laurenspencersmith-x4p-lastchristmas-36u-180x180.jpg,12,51,True
2022-12-28,All I Want For Christmas Is You,Mariah Carey,1,1,1,57,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,52,True
2022-12-28,Rockin' Around The Christmas Tree,Brenda Lee,2,2,2,51,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
2022-12-28,Jingle Bell Rock,Bobby Helms,3,4,3,48,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
2022-12-28,A Holly Jolly Christmas,Burl Ives,4,5,4,31,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,52,True
2022-12-28,Last Christmas,Wham!,5,6,5,30,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,52,True
2022-12-28,It'S The Most Wonderful Time Of The Year,Andy Williams,6,8,5,32,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,52,True
2022-12-28,Feliz Navidad,Jose Feliciano,8,11,6,25,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,52,True
2022-12-28,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,15,11,37,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,52,True
2022-12-28,Santa Tell Me,Ariana Grande,12,19,12,17,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,52,True
2022-12-28,Underneath The Tree,Kelly Clarkson,14,20,12,20,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,52,True
2022-12-28,Deck The Halls,Nat King Cole,16,31,16,7,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,52,True
2022-12-28,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,18,27,12,29,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
2022-12-28,It'S Beginning To Look A Lot Like Christmas,Michael Buble,21,35,20,14,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,52,True
2022-12-28,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,24,23,12,17,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,52,True
2022-12-28,Blue Christmas,Elvis Presley,27,41,27,7,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,52,True
2022-12-28,Run Rudolph Run,Chuck Berry,34,46,10,16,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,52,True
2022-12-28,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,38,38,3,1,https://charts-static.billboard.com/img/1996/01/john-lennon-a21-happyxmaswarisover-xlh-180x180.jpg,12,52,True
2022-12-28,Please Come Home For Christmas,Eagles,44,18,11,1,https://charts-static.billboard.com/img/1978/12/eagles-ma9-pleasecomehomeforchristmas-pgy-180x180.jpg,12,52,True
2022-12-28,This Christmas,Donny Hathaway,47,39,2,1,https://charts-static.billboard.com/img/1997/01/donny-hathaway-a6m-this-christmas-2cc-180x180.jpg,12,52,True
2022-12-28,Blue Christmas,Kane Brown,76,84,76,3,https://charts-static.billboard.com/img/2022/12/kane-brown-dqa-bluechristmas-7mp-180x180.jpg,12,52,True
2022-12-28,Last Christmas,Lauren Spencer Smith,81,94,81,4,https://charts-static.billboard.com/img/2022/12/laurenspencersmith-x4p-lastchristmas-36u-180x180.jpg,12,52,True
2023-01-04,All I Want For Christmas Is You,Mariah Carey,1,1,1,58,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,1,1,False
2023-01-04,Rockin' Around The Christmas Tree,Brenda Lee,2,2,2,52,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,1,1,False
2023-01-04,Jingle Bell Rock,Bobby Helms,3,3,3,49,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,1,1,False
2023-01-04,Last Christmas,Wham!,4,5,4,31,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,1,1,False
2023-01-04,A Holly Jolly Christmas,Burl Ives,5,4,4,32,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,1,1,False
2023-01-04,It'S The Most Wonderful Time Of The Year,Andy Williams,6,6,5,33,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,1,1,False
2023-01-04,Feliz Navidad,Jose Feliciano,7,8,6,26,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,1,1,False
2023-01-04,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,11,9,38,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,1,1,False
2023-01-04,Santa Tell Me,Ariana Grande,12,12,12,18,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,1,1,False
2023-01-04,Underneath The Tree,Kelly Clarkson,14,14,12,21,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,1,1,False
2023-01-04,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,16,18,12,30,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,1,1,False
2023-01-04,Deck The Halls,Nat King Cole,17,16,16,8,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,1,1,False
2023-01-04,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,23,24,12,18,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,1,1,False
2023-01-04,Blue Christmas,Elvis Presley,24,27,24,8,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,1,1,False
2023-01-04,It'S Beginning To Look A Lot Like Christmas,Michael Buble,25,21,20,15,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,1,1,False
2023-01-04,Run Rudolph Run,Chuck Berry,32,34,10,17,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,1,1,False
2023-01-04,This Christmas,Donny Hathaway,37,47,37,3,https://charts-static.billboard.com/img/1997/01/donny-hathaway-a6m-this-christmas-2cc-180x180.jpg,1,1,False
2023-01-04,Please Come Home For Christmas,Eagles,43,44,18,12,https://charts-static.billboard.com/img/1978/12/eagles-ma9-pleasecomehomeforchristmas-pgy-180x180.jpg,1,1,False
2023-01-04,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,47,38,38,4,https://charts-static.billboard.com/img/1996/01/john-lennon-a21-happyxmaswarisover-xlh-180x180.jpg,1,1,False
2023-01-04,Have Yourself A Merry Little Christmas,Michael Buble,48,47,3,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,1,1,False
2023-01-04,Last Christmas,Lauren Spencer Smith,72,81,72,5,https://charts-static.billboard.com/img/2022/12/laurenspencersmith-x4p-lastchristmas-36u-180x180.jpg,1,1,False
2023-01-04,Blue Christmas,Kane Brown,73,76,73,4,https://charts-static.billboard.com/img/2022/12/kane-brown-dqa-bluechristmas-7mp-180x180.jpg,1,1,False
2023-03-22,River,Miley Cyrus,32,32,1,1,https://charts-static.billboard.com/img/2006/06/miley-cyrus-jca-180x180.jpg,3,12,False
2023-03-29,River,Miley Cyrus,59,32,32,2,https://charts-static.billboard.com/img/2006/06/miley-cyrus-jca-180x180.jpg,3,13,False
2023-04-05,River,Miley Cyrus,80,59,32,3,https://charts-static.billboard.com/img/2006/06/miley-cyrus-jca-180x180.jpg,4,14,False
2023-04-12,River,Miley Cyrus,88,80,32,4,https://charts-static.billboard.com/img/2006/06/miley-cyrus-jca-180x180.jpg,4,15,False
2023-10-18,Amen,Drake Featuring Teezo Touchdown,15,15,1,1,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg,10,42,False
2023-10-25,Amen,Drake Featuring Teezo Touchdown,88,15,15,2,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg,10,43,False
2023-11-22,All I Want For Christmas Is You,Mariah Carey,17,1,59,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,47,False
2023-11-22,Last Christmas,Wham!,32,4,32,1,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,11,47,False
2023-11-22,Jingle Bell Rock,Bobby Helms,38,3,50,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,11,47,False
2023-11-22,A Holly Jolly Christmas,Burl Ives,44,4,33,1,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,11,47,False
2023-11-29,All I Want For Christmas Is You,Mariah Carey,4,17,1,60,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,48,False
2023-11-29,Rockin' Around The Christmas Tree,Brenda Lee,8,2,53,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,11,48,False
2023-11-29,Jingle Bell Rock,Bobby Helms,12,38,3,51,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,11,48,False
2023-11-29,Last Christmas,Wham!,13,32,4,33,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,11,48,False
2023-11-29,A Holly Jolly Christmas,Burl Ives,16,44,4,34,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,11,48,False
2023-11-29,It'S The Most Wonderful Time Of The Year,Andy Williams,28,5,34,1,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,11,48,False
2023-11-29,Feliz Navidad,Jose Feliciano,39,6,27,1,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,11,48,False
2023-11-29,Underneath The Tree,Kelly Clarkson,42,12,22,1,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,11,48,False
2023-11-29,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",43,9,39,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,11,48,False
2023-11-29,Santa Tell Me,Ariana Grande,48,12,19,1,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,11,48,False
2023-12-06,Rockin' Around The Christmas Tree,Brenda Lee,1,8,1,54,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
2023-12-06,All I Want For Christmas Is You,Mariah Carey,2,4,1,61,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,49,True
2023-12-06,Jingle Bell Rock,Bobby Helms,4,12,3,52,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
2023-12-06,Last Christmas,Wham!,5,13,4,34,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,49,True
2023-12-06,A Holly Jolly Christmas,Burl Ives,6,16,4,35,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,49,True
2023-12-06,It'S The Most Wonderful Time Of The Year,Andy Williams,10,28,5,35,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,49,True
2023-12-06,Feliz Navidad,Jose Feliciano,16,39,6,28,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,49,True
2023-12-06,Underneath The Tree,Kelly Clarkson,17,42,12,23,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,49,True
2023-12-06,Santa Tell Me,Ariana Grande,18,48,12,20,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,49,True
2023-12-06,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",19,43,9,40,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,49,True
2023-12-06,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,23,12,31,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,49,True
2023-12-06,Deck The Halls,Nat King Cole,28,16,9,1,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,49,True
2023-12-06,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,29,12,19,1,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,49,True
2023-12-06,It'S Beginning To Look A Lot Like Christmas,Michael Buble,31,20,16,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,49,True
2023-12-06,Blue Christmas,Elvis Presley,32,24,9,1,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,49,True
2023-12-06,Run Rudolph Run,Chuck Berry,42,10,18,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,49,True
2023-12-13,Rockin' Around The Christmas Tree,Brenda Lee,1,1,1,55,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
2023-12-13,All I Want For Christmas Is You,Mariah Carey,2,2,1,62,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,50,True
