weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1961-12-20,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,20,33,20,9,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
1961-12-20,Jingle Bell Rock,Bobby Rydell/Chubby Checker,27,45,27,3,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,51,True
1961-12-20,Baby'S First Christmas,Connie Francis,43,54,43,3,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,12,51,True
1961-12-20,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,47,63,41,10,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,51,True
1961-12-20,Little Altar Boy,Vic Dana,48,51,48,5,#,12,51,True
1961-12-20,Jingle Bell Rock,Bobby Helms,49,58,35,10,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
1961-12-20,Rockin' Around The Christmas Tree,Brenda Lee,58,84,14,7,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
1961-12-20,Please Come Home For Christmas,Charles Brown,85,85,1,1,https://charts-static.billboard.com/img/1960/12/charles-brown-gqd-180x180.jpg,12,51,True
1961-12-27,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,20,12,10,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
1961-12-27,Jingle Bell Rock,Bobby Rydell/Chubby Checker,21,27,21,4,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,52,True
1961-12-27,Baby'S First Christmas,Connie Francis,26,43,26,4,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,12,52,True
1961-12-27,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,39,47,39,11,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,52,True
1961-12-27,Jingle Bell Rock,Bobby Helms,41,49,35,11,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
1961-12-27,Little Altar Boy,Vic Dana,45,48,45,6,#,12,52,True
1961-12-27,Rockin' Around The Christmas Tree,Brenda Lee,50,58,14,8,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
1961-12-27,Please Come Home For Christmas,Charles Brown,76,85,76,2,https://charts-static.billboard.com/img/1960/12/charles-brown-gqd-180x180.jpg,12,52,True
1962-01-03,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,20,12,10,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,1,1,False
1962-01-03,Jingle Bell Rock,Bobby Rydell/Chubby Checker,21,27,21,4,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,1,1,False
1962-01-03,Baby'S First Christmas,Connie Francis,26,43,26,4,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,1,1,False
1962-01-03,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,39,47,39,11,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,1,1,False
1962-01-03,Jingle Bell Rock,Bobby Helms,41,49,35,11,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,1,1,False
1962-01-03,Little Altar Boy,Vic Dana,45,48,45,6,#,1,1,False
1962-01-03,Rockin' Around The Christmas Tree,Brenda Lee,50,58,14,8,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,1,1,False
1962-01-03,Please Come Home For Christmas,Charles Brown,76,85,76,2,https://charts-static.billboard.com/img/1960/12/charles-brown-gqd-180x180.jpg,1,1,False
1962-01-10,Jingle Bell Rock,Bobby Rydell/Chubby Checker,23,21,21,5,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,1,2,False
1962-01-10,Little Altar Boy,Vic Dana,48,45,45,7,#,1,2,False
1962-01-10,Baby'S First Christmas,Connie Francis,71,26,26,5,https://charts-static.billboard.com/img/1961/12/connie-francis-411-180x180.jpg,1,2,False
1962-01-17,Little Altar Boy,Vic Dana,51,48,45,8,#,1,3,False
1962-12-05,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",80,80,1,1,#,12,49,True
1962-12-05,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,92,39,12,1,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,49,True
1962-12-05,Jingle Bell Rock,Bobby Helms,99,35,12,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
1962-12-12,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",57,80,57,2,#,12,50,True
1962-12-12,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,59,92,39,13,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,50,True
1962-12-12,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,70,12,11,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,50,True
1962-12-12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",75,75,3,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,50,True
1962-12-12,Santa Claus Is Watching You,Ray Stevens,77,77,1,1,https://charts-static.billboard.com/img/1962/12/ray-stevens-kgr-180x180.jpg,12,50,True
1962-12-12,Jingle Bell Rock,Bobby Helms,87,99,35,13,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
1962-12-12,Rockin' Around The Christmas Tree,Brenda Lee,89,14,9,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
1962-12-12,Jingle Bell Rock,Bobby Rydell/Chubby Checker,97,21,6,1,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,50,True
1962-12-19,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",40,57,40,3,#,12,51,True
1962-12-19,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,46,70,12,12,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
1962-12-19,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,47,59,39,14,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,51,True
1962-12-19,Santa Claus Is Watching You,Ray Stevens,55,77,55,2,https://charts-static.billboard.com/img/1962/12/ray-stevens-kgr-180x180.jpg,12,51,True
1962-12-19,Jingle Bell Rock,Bobby Helms,59,87,35,14,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
